Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA,NetRtg,NetRtg.1,Luck,NetRtgTotal,NetRtgTotalPlusLuck
35,Texas A&M,1,2,9,0.6322360953,0.8787322003,0.5478753541,0.4769637462,0.18125,0.2195121951,0.5353982301,0.6843434343,0.4777070064,0.6400651466,0.8128654971,1.0,0.1843575419,0.2222222222,0.5035460993,0.4256756757,0.9504950495,0.3740458015,0.5937984496,0.2788461538,0.4740740741,0.621761658,0.6,0.7114183764495986,12.06,-0.033,0.7583129584352077,0.7577444839249301
40,Colorado,1,2,10,0.7661748014,0.8240698209,0.6753541076,0.4633685801,0.76875,0.8902439024,0.8407079646,0.7626262626,0.5636942675,0.7345276873,0.7953216374,0.608,0.7374301676,0.7602339181,0.5744680851,0.5337837838,0.504950495,0.2824427481,0.2976744186,0.6506410256,0.5333333333,0.6373056995,0.6913043478,0.7413024085637824,9.34,0.014,0.7496332518337407,0.7496489492899618
43,Duquesne,1,0,11,0.732122588,0.6412494258,0.4456090652,0.6412386707,0.44375,0.5609756098,0.5752212389,0.5707070707,0.6560509554,0.657980456,0.5029239766,0.528,0.4804469274,0.4678362573,0.609929078,0.4054054054,0.5742574257,0.5572519084,0.5666666667,0.5705128205,0.4518518519,0.4352331606,0.4913043478,0.5950044603033007,5.68,0.079,0.5845965770171149,0.5856014261816672
46,Oregon,1,3,11,0.732122588,0.8649517685,0.5628895184,0.4380664653,0.54375,0.5365853659,0.5619469027,0.6565656566,0.4840764331,0.6254071661,0.4912280702,0.468,0.5418994413,0.514619883,0.390070922,0.5,0.7920792079,0.465648855,0.619379845,0.4775641026,0.6074074074,0.414507772,0.5260869565,0.6693428486470414,9.88,0.045,0.6970660146699267,0.6975224977715913
48,Grand Can,1,1,12,0.9625425653,0.3835553514,0.6895184136,0.6246223565,0.59375,0.5853658537,0.7300884956,0.7727272727,0.7643312102,0.8436482085,0.6842105263,0.716,0.5977653631,0.6549707602,0.7375886525,0.5810810811,0.5940594059,0.5648854962,0.5821705426,0.3333333333,0.3555555556,0.9170984456,0.5130434783,,,,,
49,J Madison,1,2,12,1.0,0.2402388608,0.8186968839,0.538897281,0.6875,0.7134146341,0.5309734513,0.8282828283,0.7738853503,0.8843648208,0.6783625731,0.628,0.7150837989,0.6725146199,0.6808510638,0.7162162162,0.8118811881,0.5877862595,0.7379844961,0.5865384615,0.7333333333,0.4404145078,0.4739130435,0.6430270591733572,-3.41,0.093,0.5129584352078239,0.5142190800639829
51,Yale,1,0,13,0.7593643587,0.4372990354,0.5708215297,0.628776435,0.6375,0.6097560976,0.5530973451,0.7348484848,0.6433121019,0.7573289902,0.6725146199,0.496,0.625698324,0.567251462,0.6028368794,0.3310810811,0.8613861386,0.3664122137,0.5689922481,0.5641025641,0.7851851852,0.2279792746,0.6695652174,0.5932203389830509,3.07,0.04,0.5512224938875305,0.5517906638826819
57,Oakland,1,2,14,0.732122588,0.3739090492,0.5937677054,0.3980362538,0.5,0.6280487805,0.7522123894,0.6818181818,0.4522292994,0.6254071661,0.5438596491,0.54,0.5586592179,0.5614035088,0.475177305,0.472972973,0.6831683168,0.3358778626,0.4573643411,0.5801282051,0.562962963,0.4300518135,0.7,0.5138269402319358,-0.08,0.077,0.44743276283618577,0.4485756499017058
11,Kentucky,0,2,3,0.7809307605,0.8231511254,0.9628895184,0.1419939577,0.79375,1.0,0.8185840708,0.9090909091,0.4203821656,0.7557003257,0.5087719298,0.476,0.8547486034,0.8362573099,0.5177304965,0.8648648649,0.8316831683,0.3053435115,0.5565891473,0.6025641026,0.8296296296,0.4352331606,0.5130434783,0.7451680047576569,8.94,-0.04,0.747921760391198,0.7472801201509213
13,Auburn,0,0,4,0.8592508513,0.820395039,0.7872521246,0.5811933535,0.65,0.6402439024,0.7168141593,0.8636363636,0.7484076433,0.8941368078,0.6081871345,0.652,0.6703910615,0.6900584795,0.7872340426,0.6486486486,0.8118811881,0.4503816794,0.6379844961,0.8493589744,0.8666666667,0.7046632124,0.2391304348,0.8745168004757657,9.49,-0.08,0.861002444987775,0.8597384519579472
18,St Mary's,0,1,5,0.8592508513,0.6187413872,0.5322946176,0.9335347432,0.61875,0.6524390244,0.3982300885,0.8232323232,0.8885350318,0.9397394137,1.0,0.908,0.6312849162,0.5497076023,0.8581560284,0.1554054054,0.7722772277,0.4045801527,0.5093023256,0.733974359,0.7925925926,0.2279792746,0.5782608696,0.7472494796312816,3.54,0.008,0.6836185819070905,0.6836392053432971
19,Wisconsin,0,2,5,0.6992054484,0.9871382637,0.5456090652,0.5358761329,0.58125,0.6097560976,0.7389380531,0.7348484848,0.4872611465,0.67752443,0.6315789474,0.532,0.5754189944,0.5847953216,0.3617021277,0.3040540541,0.8118811881,0.4198473282,0.5736434109,0.3717948718,0.562962963,0.5284974093,0.5391304348,0.7566161165625931,14.04,-0.036,0.8196821515892418,0.8190043591340341
21,BYU,0,0,6,0.7559591373,0.8479559026,0.7478753541,0.5113293051,0.575,0.6097560976,0.6637168142,0.845959596,0.6305732484,0.82247557,0.7192982456,0.632,0.7262569832,0.6666666667,0.6312056738,0.5945945946,0.7920792079,0.3358778626,0.4953488372,0.8782051282,0.8962962963,0.1813471503,0.5826086957,0.7551293487957182,9.21,-0.048,0.7594132029339853,0.7586602683858995
23,Texas Tech,0,2,6,0.7559591373,0.9085898025,0.5702549575,0.5332326284,0.51875,0.7134146341,0.8407079646,0.7222222222,0.5350318471,0.6938110749,0.5263157895,0.528,0.5977653631,0.6315789474,0.5957446809,0.4054054054,0.6534653465,0.3740458015,0.4782945736,0.6794871795,0.5851851852,0.6113989637,0.7347826087,0.7158786797502231,10.24,0.034,0.7397310513447433,0.7400026863010856
24,S Carolina,0,3,6,0.8592508513,0.7593017915,0.4696883853,0.6223564955,0.43125,0.5304878049,0.5575221239,0.6818181818,0.5382165605,0.6693811075,0.6081871345,0.644,0.4860335196,0.4619883041,0.609929078,0.2364864865,0.7821782178,0.2519083969,0.4271317829,0.7884615385,0.7333333333,0.3937823834,0.5782608696,0.6724650609574785,7.94,0.144,0.6759168704156479,0.6776072383603796
27,Florida,0,2,7,0.7661748014,0.8497932935,0.8563739377,0.1937311178,0.55625,0.5975609756,0.5442477876,0.8106060606,0.4458598726,0.7052117264,0.730994152,0.832,0.5530726257,0.5497076023,0.5744680851,0.7905405405,0.7623762376,0.2061068702,0.3705426357,0.4743589744,0.5555555556,0.6424870466,0.5130434783,0.728813559322034,11.0,-0.021,0.7596577017114915,0.7592341599814402
